يخرب بيت اللحمية اللي بمناخيرك... صوتك شبه صوت بوقلوظ ايام بوجي وطمطم,P,,,,,,,,,,,,,,,,,P
حطب جهنم,N,,,,,,,,,,,,,,,,,N
مقتنعه كلش 😒,N,,,,,,,,,,,,,,,,,N
"جميع فنانات مصر كانوا يقدمون اسوء من الذي قدمته هذه الفنانة 

لكن العنصرية للجنسية",N,,,,,,,,,,,,,,,,,N
مالكوا ومالها ...مش فاهم متحاملين عليها ليه مش فاهم. .مكنه ومزه وساروخ ..ا,N,,,,,,,,,,,,,,,,,N
العالم ينظر الينا كبلد الرقصات والعاهرت حسبي الله ونعم الوكيل في الا خلكو تغنو وتفتحو قنوات رقص,N,,,,,,,,,,,,,,,,,N
وزير اعلام فاشل أن يترك عاهرات تغني كده والمفروض يمنع قنوات  الرقص والاغاني,P,,,,,,,,,,,,,,,,,P
البت دي بتاعت الدعاره ازاي تيجي اصلا فبرنامج زي ده وتتكلم كمان والله مصيبه علي المسلمين,P,,,,,,,,,,,,,,,,,P
انصدمت من الفيديو 😵,N,,,,,,,,,,,,,,,,,N
مجتمع تافه و فاشل و مكبوت ،ما بيهمه غير الأجسام و النسوان و العري و الراقصات،يا حرام بس عواض ما نهتم بالدول العربية الي عم تتعرض للحروب و لمشاكل الفقر و الجوع ،و عواض ما نحارب داعش و القتالين ، عواض ما تحاربو هالراقصات التافهات حاربو الجوع و حاربو الارهاب ، يا ما احلى الدول الغربية على الاقل ازا البنت لبست قصير ما حدا بيطلع عليها بينما عندنا ازا الوحدة لبست عباية بيتحرشو فيها و فوق منها بالغرب عندهم تطور و اخترام للاخر لكن نحنا معنا مافي امل ، ايمت بدنا نفهم انو العقل اهم من الجسم,P,,,,,,,,,,,,,,,,,P
اتفه مجتمع لأنو بيهمو بس الراقصات و العري و اخر همو الناس الي عم تموت و الحروب و القتالين ، مجتمع فاشل لأنو بيحارب العري فقط بينما القتل بالنسبة الو شي عادي ، انا بالنسبة الي هدول المجرمين تبع داعش لازم نحاربون قبل هدول الراقصات ، عاساس نحنا مجتمعنا كامل و مافيو مشكلة غير هدول الراقصات ، لك مجتمع مكبوت الله يجعل هالراقصات اكبر همومنا,P,,,,,,,,,,,,,,,,,P
لا تنتظرو شيء في هذه الدنيا.  فعلامات الساعه تظهر لنا واحدة تلو الاخري.  حسبنا الله ونعم الوكيل,N,,,,,,,,,,,,,,,,,N
بتقول انا عايشه علشان تدلع نفسى وادلع الناس ونسيت أن ربنا خلقها علشان العباده لله  حسبى الله ونعم الوكيل,N,,,,,,,,,,,,,,,,,N
اصبح الفن عفن  😝😝😝😝😝😝,N,,,,,,,,,,,,,,,,,N
انا بحب سعاد محترمه الف رحمه ونور عليها,N,,,,,,,,,,,,,,,,,N
يوىلك عند ربنا الله يلعنك ياشيخه,P,,,,,,,,,,,,,,,,,P
الله يلعنك سعاد حسني برقبتك سعاد افلامها محترمه الله يرحمك ياسعاد,P,,,,,,,,,,,,,,,,,P
ههههههه تفتح الحنفية تطلع لك هيفاء وهبي 😂😂😂😂😂😂😂,N,,,,,,,,,,,,,,,,,N
تفتحي الحنفيه تلاقي هيفا 😂,N,,,,,,,,,,,,,,,,,N
المحامية كتير بتفهم وبرديس كتير سافلة,P,,,,,,,,,,,,,,,,,P
بس هم ليه بيستقبلوها في برنامج تلفزيوني وعاملين فيها قيمة ،الحق عليكم,N,,,,,,,,,,,,,,,,,N
حقا  هذه  تعتر  فنانة   هزلت,N,,,,,,,,,,,,,,,,,N
كلهم لا يملكون مواهب ولذلك يستخدمون اسهل طريقة لكسب المال والشهرة وهي الإغراء والاستسلام لاي مخرج رخيص لاذمة لديه ولاضمير مساكين وضعهم محزن لان قيمتهم اصبحت في اجسامهم وليست في ذاتهم,N,,,,,,,,,,,,,,,,,N
دي وحده عيزه الحرق,P,,,,,,,,,,,,,,,,,P
,P,,,,,,,,,,,,,,,,,P
طاح حضج وحض فنج وياج انتي وامثالج خربتو الاغاني اغانيكم كلها وصخه مثل وجوهكم يا فشله,P,,,,,,,,,,,,,,,,,P
"اولا البنت دي مش تمثل الشعب المصري 
وبعد كده الناس المتخلفه اللي بتشتم مصر عشان البنت دي 
انا اتحدي اي واحد من اي بلد مفيهاش زي البنت
 دي كل بلاد العالم فيها كده و اكتر  
كل واحد يشتم 
انا مش هقول يشوف بنات بلده هقوله شوف نفسك و اخواتك يا متخلف منك ليه",P,,,,,,,,,,,,,,,,,P
لم ارى شعب منافق زي  شعب مصري هوا انتو بتقولول انو سعاد حسني فنانه ومحترمه ودي رقاصه،بتشتموها غريب امركم يا  مصرين  مش سعاد متلت بوس ولحس ورقص ووووور ايه ده مش؟ برونو  علي اقل اولي رقصت بس سعاد باست وتحضنت وعملت، ... سيبنا من نفاكم اصلا، عهر وفسق متي كان. فن. يامصرين شوف شوي  قيمه بلدكم في اخير. ده بلد مسلم يعني,P,,,,,,,,,,,,,,,,,P
هههههههه لا فن ولا ابداع,N,,,,,,,,,,,,,,,,,N
هدب ما تتحاور هدي تطرد فوووووووووورا,N,,,,,,,,,,,,,,,,,N
والله النقاد أكثر أشخاص ما أوثق فيهم زي الفيديو رقم 4 و 3 يحاول يفهم فينا أن وقت سعاد حسني وهند رستم كانو محتشمين ما  كلهم  ف الهوا سوا  الله يغفرلهم,N,,,,,,,,,,,,,,,,,N
استغفرالله العظيم حرام يا ناس  حراممممممممم كفيااااااا,N,,,,,,,,,,,,,,,,,N
"اكيد دي متمثلش بنات مصر 
😘😘😘😘😘😘😘",N,,,,,,,,,,,,,,,,,N
صراحه عسل عسل بردىس ونفسى اشوف باقى البضاعه,N,,,,,,,,,,,,,,,,,N
الله يخرب بيتكم سوأتم سمعت المرأه المصريةالأصيلةكل الدول العربيةواخدةفكرةانناكلناراقصات وغواني حسبي الله ونعم الوكيل فيكم بقينافي زمن البلاوي نفسي اعرفلك راجل فعيلتك فوش اموشنب,N,,,,,,,,,,,,,,,,,N
يخرب بيتك ما ازنخك لا صوت ولا شكل لا وبتدافع عن قرفها خيبه تخيب منظرك تفوووو ع شكلك  ي غبيه,P,,,,,,,,,,,,,,,,,P
الله   يهدي     من  يشاء,N,,,,,,,,,,,,,,,,,N
انا واحدة عملت عمرة و زرت بيت الله مع أسرتي و للأسف الشديد السعوديين هناك كانوا بيعاملونا بشكل سئ جدا ( مش عايزة أقول لفظ وحش) كل الناس بره فاكرنا مجرد رقصات و قلال الأدب و في الأخر بيجي علي البنات المحترمة اللي في الشارع,N,,,,,,,,,,,,,,,,,N
استغفرالله العظيم,N,,,,,,,,,,,,,,,,,N
"عادي دي برديس بعد عشرين  سنة  حتكون اسطورة في الجرأة والانوثة زي ماصنعوا من المدعوة ""سعاد حسني ""بارشيفها الاباحي  اسطورة زمان عجيب .",N,,,,,,,,,,,,,,,,,N
گمان بجحه ههههه,P,,,,,,,,,,,,,,,,,P
اخ يامصر,N,,,,,,,,,,,,,,,,,N
والله لا صوت ولا جسم  ولا احترام في المعاقة دي  ملامحها زاي راجل لتكون متحولة جنسيا الله يستر,P,,,,,,,,,,,,,,,,,P
لاحول ولا قوة الا بالله العلي العظيم رب العرش العظيم,N,,,,,,,,,,,,,,,,,N
بتستاهل كل شي بينقال,N,,,,,,,,,,,,,,,,,N
لا والله انت غيرانة من نانسي وهي احلى من صوتك,N,,,,,,,,,,,,,,,,,N
انا من السودان احيي الشعب المصري لمحاربتم لها,N,,,,,,,,,,,,,,,,,N
"قصفن قصف 
بوووووووووم😂😂😂😂😂😂😂😂",N,,,,,,,,,,,,,,,,,N
هاي شكلها متحول جنسيا يعني شب وتحول مبين من شكلها المقرف وصوتها,P,,,,,,,,,,,,,,,,,P
طوني الخليفه المنافق يهزئ هالراقصه  ويعطيها بوجهها ..ولما قابل مريام كلينك رفع فيها وقعد يحضنها  ...مصالح,P,,,,,,,,,,,,,,,,,P
طوني خليفه يتكلم عن الاحترام و ناسي بنات ديرته ، اكبر شراميط بلبنان عندكم خلك ببلدك اشرفلك,P,,,,,,,,,,,,,,,,,P
مقززه من جد,N,,,,,,,,,,,,,,,,,N
في هذا الفيديو بحس ان طوني عاوز يوقف يضربها,N,,,,,,,,,,,,,,,,,N
شوارعية بيئه حتى اغرائها مقرف جسمها بشع مقزز مافيها نعومه كانها رجل متحول ومصرة على قرفنا واستفراغنا روحي ربي عيالك,P,,,,,,,,,,,,,,,,,P
وانا عمبالي فوهران عندنا القحاب😛😂 ظهرت ماشي غير عندنا,P,,,,,,,,,,,,,,,,,P
هههههههههه,N,,,,,,,,,,,,,,,,,N
عصيتين الغلايه اللي  فرحانه بيهم         برديس,N,,,,,,,,,,,,,,,,,N
انا اصلا حدفت كل القنوات الفضائية المصرية  لأنهم سرطان للأطفال الصغار,N,,,,,,,,,,,,,,,,,N
هههههههه العيب ليس في العاهرات العيب في من يعطيهم قيمة ويجعلهم فنانات  وهم عاهرات من الطراز الأول,P,,,,,,,,,,,,,,,,,P
هههه دبه,N,,,,,,,,,,,,,,,,,N
"بدل ما بتحكوا عليها 
ادعو لها بالهداوى 
وقولوا الله يهديها
ويهدي كل المسلمين
والمسلمات الله يسامحها
والله غفور رحيم 
مو صح يا اخواني الاسﻻم 
وﻻ تشيلو غبية احد 
واذا بتدعولها بتحلصلوا حسنات",N,,,,,,,,,,,,,,,,,N
سااااااااااااقطة بامتياز  وان شاء الله تموت عالمعصية والرذيلة  ﻻنو عقاب ربنا سبحانو  هو الكفيل بانو يشفيلي غليلي فيها,P,,,,,,,,,,,,,,,,,P
صح صح صح حصح صح لما قالت عن ناسي صوته مخل,N,,,,,,,,,,,,,,,,,N
والله لما قالت صوت ننانسي مخل,N,,,,,,,,,,,,,,,,,N
فرق بين الحاجب والعين 10 امتار ههههه 😂,N,,,,,,,,,,,,,,,,,N
يوووو هم كالت نانسي عيني نانسي ساحبة على ام امج نانسي صوتها يجنننن بس معضم اغانيها مو حلوة مو صوتها مو حلو معضم اغانيها  وبعدين وين الاحترام بملابسها  هاي وصوتها نشاااز اشتهرت بسفالة ومتشوف لان شيطان عماها,P,,,,,,,,,,,,,,,,,P
تتكلم بمناخيرها مقرفة و قبيحة,P,,,,,,,,,,,,,,,,,P
"بتقارنو الاشكال هاذ باليسا ملكة الاحساس
شعب بيئة",P,,,,,,,,,,,,,,,,,P
مصر تشوهات ب هاد النماديج,N,,,,,,,,,,,,,,,,,N
هه,N,,,,,,,,,,,,,,,,,N
علي راي سعيد صالح الله يرحمه الشغل دا مش عايز شهادة دا عايز ليونة ههههههههههه,N,,,,,,,,,,,,,,,,,N
هاي فنانه مالنيج,P,,,,,,,,,,,,,,,,,P
هههههه هههههه,N,,,,,,,,,,,,,,,,,N
ربنا يلعنك ياشرررررم,P,,,,,,,,,,,,,,,,,P
ابو ام اللي جابك جبتوا لنا الفضايح بين العرب خره خره خره,P,,,,,,,,,,,,,,,,,P
عيعععععع,N,,,,,,,,,,,,,,,,,N
عصر التكنولوجيا والتطور بس الناس اصبحو بقمت التخلف,N,,,,,,,,,,,,,,,,,N
والله دماغكم فاضيه -ربنا يسترها علينا يا رب -لا حول ولا قوه إلا بالله العلي العظيم,N,,,,,,,,,,,,,,,,,N
اتقبض عليها  اداب والناس اللي بتقول ان مصر بلد مش كويسه لو كانت مش كويسه مكانش اتقبض عليها اداب في بلاد عربيه اوسخ من كده ومفيش عندهم بوليس اداب  اصلا 😂😂😏,P,,,,,,,,,,,,,,,,,P
😂😂😂مفهمتش منو الفاضي الي مصورلها الكليب,N,,,,,,,,,,,,,,,,,N
اويلي قمة الادب والاحترام وعلاه قمة الانحلال والفسق كيفاش داير,P,,,,,,,,,,,,,,,,,P
والله برديس شكلها زي القرد اصلا وصوتها زي الرجاله وكلها علي بعضها تقرف,P,,,,,,,,,,,,,,,,,P
"فعلا الأشكال دي خلت كل العالم يظن ان المصريات كلهم عاهرات  زي الناس دول 
الله لا يوفقهم ويخلصنا منهم",N,,,,,,,,,,,,,,,,,N
لاحول ولاقوة الا بالله العلي العظيم.,N,,,,,,,,,,,,,,,,,N
ابو لحية... يتفرج مليح مليح و بيرد قلبو و يجي يحل فمو,N,,,,,,,,,,,,,,,,,N
عيب تعملهاقيمه وتقعدها قدامك وتستضيفها هى عايزه كده,N,,,,,,,,,,,,,,,,,N
صباح عسل,N,,,,,,,,,,,,,,,,,N
اهذا هو الفن ‘‘فلنشخرررررر جميعا  😬😬😬😬😬,N,,,,,,,,,,,,,,,,,N
ان لم تستحي افعل ما شئت,N,,,,,,,,,,,,,,,,,N
المفروض القزاره دي مافيش حدا يعرضه التلفزون المصري ابدا,P,,,,,,,,,,,,,,,,,P
مسخرة لا جسم حلو ولا وجه ولا اي حاجة زبلة وصايي,P,,,,,,,,,,,,,,,,,P
هيفاء كمان عملت فيديو كليب فاضح ليه ما حاكموها العكس انتو فرحتو بيها و قدرتوها انا مش مع لبنت دي بس هي شافت كل شيء مسموح للاجنبي في بلدها اكيد تعمل كدة يعني لما تعاقبو عاقبو الكل مش الضعاف بس,N,,,,,,,,,,,,,,,,,N
"تفو عليها وعلي زيها يخسارة شوهت مصر
لا حول ولا قوة إلا بالله 😡😡",P,,,,,,,,,,,,,,,,,P
"ناس ماعاد تحترم الله 
استغفر الله 😥😷",N,,,,,,,,,,,,,,,,,N
الله يهديها,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
